Ticker
AAPL
ABBV
ABI
ALV
AMGN
AMZN
BA
BATS
BHP
BP
C
CSCO
CVX
DD
DIS
FB
GE
GOOG
GOOGL
GSK
HSBA
IBM
INTC
JNJ
JPM
KO
MA
MCD
MMM
MRK
MSFT
NESN
NOVN
NVDA
ORCL
PEP
PFE
PG
PM
RDSA
ROG
RY
SAN
SIE
SMSN
TOT
TSM
TYO
V
WMT
XOM
